"weather_station_abbr","weather_station_name","weather_lat","weather_lon"
"ABO","Adelboden",46.491703,7.560703
"AEG","Oberägeri",47.133636,8.608206
"AIG","Aigle",46.326647,6.924472
"ALT","Altdorf",46.887069,8.621894
"AND","Andeer",46.610139,9.431981
"ANT","Andermatt",46.630914,8.580553
"ARH","Altenrhein",47.483631,9.56685
"ARO","Arosa",46.792661,9.679014
"ATT","Les Attelas",46.0991,7.26865
"BAN","Bantiger",46.977806,7.528667
"BAS","Basel / Binningen",47.541142,7.583525
"BEH","Passo del Bernina",46.409158,10.019567
"BER","Bern / Zollikofen",46.990744,7.464061
"BEZ","Beznau",47.557256,8.233325
"BIA","Biasca",46.336053,8.978197
"BIE","Bière",46.524908,6.342386
"BIN","Binn",46.367661,8.192306
"BIV","Bivio",46.462494,9.668639
"BIZ","Bischofszell / Sitterdorf",47.508828,9.266797
"BLA","Blatten, Lötschental",46.422261,7.825914
"BOL","Boltigen",46.623519,7.384206
"BOU","Bouveret",46.393447,6.857006
"BRL","La Brévine",46.983844,6.610297
"BRZ","Brienz",46.740719,8.060864
"BUF","Buffalora",46.648408,10.2672
"BUS","Buchs / Aarau",47.384381,8.07955
"CDF","La Chaux-de-Fonds",47.082947,6.792314
"CDM","Col des Mosses",46.391525,7.098239
"CEV","Cevio",46.320486,8.603161
"CGI","Nyon / Changins",46.401053,6.227722
"CHA","Chasseral",47.131761,7.054367
"CHB","Les Charbonnières",46.67015,6.312428
"CHD","Château-d'Oex",46.479819,7.139656
"CHM","Chaumont",47.049169,6.978825
"CHU","Chur",46.870572,9.530761
"CHZ","Cham",47.188278,8.464642
"CIM","Cimetta",46.200467,8.79165
"CMA","Crap Masegn",46.842275,9.180042
"COM","Acquarossa / Comprovasco",46.459517,8.935486
"COV","Piz Corvatsch",46.418039,9.821308
"COY","Courtelary",47.180811,7.090656
"CRM","Cressier",47.047581,7.059147
"DAV","Davos",46.812969,9.843558
"DEM","Delémont",47.351706,7.349567
"DIA","Les Diablerets",46.32675,7.203781
"DIS","Disentis",46.706569,8.853478
